feature,r2_mean,r2_std,tag
revenue,0.30090778734816026,0.008368510813602107,arithmetic
bounce_rate,0.1336922608424056,0.01857556640776175,leakage
ad_spend,0.13208452941770027,0.013885387627988703,normal
landing_page_load_time,0.10361017998365821,0.017707126127967713,leakage
creative_impact_factor,0.071660674816079,0.00547050870177797,leakage
conversions,0.05181046940485401,0.004445499014684011,arithmetic
cpc_vs_industry_avg,0.03176950231397422,0.003323556350472616,normal
audience_size,0.010234319764103782,0.00221177248326659,normal
platform_growth_index,0.008030230519077896,0.0023980203543525823,normal
is_video,0.0071550916544313335,0.004026772290026895,normal
clicks,0.005358938109605482,0.002448454496766754,arithmetic
auction_density,0.0051360945532833435,0.0030319561191864616,normal
CPA,0.003294549723259754,0.0023536692483182137,arithmetic
CPC,0.0012529205050609837,0.0015079975870353468,arithmetic
platform_event_impact,0.00034633404098050047,0.001222193321783595,normal
is_retargeting,-7.452762397672786e-05,0.0028272026493600857,normal
trend_momentum,-7.601748593599744e-05,0.0010640332314878762,normal
video_length_sec,-0.00031051716795480464,0.0008355543414501395,normal
is_lookalike,-0.0004082942241784737,0.000666184991379503,normal
CTR,-0.00044900006233812296,0.002616288975133913,arithmetic
impressions,-0.0006738966501633525,0.001254699403760119,arithmetic
is_weekend,-0.0008821133228275712,0.0006271555561666811,normal
trend_index,-0.000907867594055789,0.00091202507129652,normal
is_month_start,-0.0009265905992450252,0.000857452076422202,normal
is_major_event,-0.0009273988511075304,0.0009674067846941824,normal
is_public_holiday,-0.000935084287689425,0.0014431429376003085,normal
avg_session_duration,-0.0009364837623369038,0.0012388179993775277,normal
has_cta,-0.0009534888047987078,0.0013420699282529795,normal
cpi_index,-0.0009978458434953597,0.001152881327220379,normal
competition_index,-0.0010350292204755363,0.0008136083911870984,normal
unemployment_rate,-0.0010423034144353416,0.0009911884940440648,normal
days_to_next_holiday,-0.0010596165244428856,0.0009974807073886477,normal
num_products_shown,-0.0010962898119249108,0.001040975195507399,normal
is_month_end,-0.001114584913124772,0.0012935845740808358,normal
headline_length,-0.0011419370900620507,0.0010924801773265801,normal
exchange_rate_usd,-0.001142212115931196,0.000995293733084569,normal
season_intensity,-0.0011535555341227078,0.0009151143691523916,normal
funnel_steps,-0.0012122493180364736,0.0010117078163959464,normal
industry_avg_cpc,-0.0012355040233722914,0.0012405600109275331,normal
cpi_yoy_pct,-0.0012641700798887267,0.0010176065508030123,normal
copy_sentiment,-0.0014277434897230767,0.001390752082281195,normal
is_shopping_season,-0.0014728075502036253,0.0017963578815080971,normal
gdp_growth_pct,-0.0015188378946822568,0.0011648996387394995,normal
